posicion,fecha,horario,numero
2,21-08-2019,MATUTINO,218
2,21-08-2019,VESPERTINO,680
2,21-08-2019,EL EXTRA,-
2,21-08-2019,NOCTURNO,700
3,21-08-2019,TEMPRANERO,-
3,21-08-2019,MATUTINO,648
3,21-08-2019,VESPERTINO,089
3,21-08-2019,EL EXTRA,-
3,21-08-2019,NOCTURNO,706
4,21-08-2019,TEMPRANERO,-
4,21-08-2019,MATUTINO,648
4,21-08-2019,VESPERTINO,033
4,21-08-2019,EL EXTRA,-
4,21-08-2019,NOCTURNO,097
5,21-08-2019,TEMPRANERO,-
5,21-08-2019,MATUTINO,262
5,21-08-2019,VESPERTINO,836
5,21-08-2019,EL EXTRA,-
5,21-08-2019,NOCTURNO,208
6,21-08-2019,TEMPRANERO,-
6,21-08-2019,MATUTINO,202
6,21-08-2019,VESPERTINO,853
6,21-08-2019,EL EXTRA,-
6,21-08-2019,NOCTURNO,355
7,21-08-2019,TEMPRANERO,-
7,21-08-2019,MATUTINO,373
7,21-08-2019,VESPERTINO,041
7,21-08-2019,EL EXTRA,-
7,21-08-2019,NOCTURNO,695
8,21-08-2019,TEMPRANERO,-
8,21-08-2019,MATUTINO,230
8,21-08-2019,VESPERTINO,565
8,21-08-2019,EL EXTRA,-
8,21-08-2019,NOCTURNO,614
9,21-08-2019,TEMPRANERO,-
9,21-08-2019,MATUTINO,324
9,21-08-2019,VESPERTINO,402
9,21-08-2019,EL EXTRA,-
9,21-08-2019,NOCTURNO,926
10,21-08-2019,TEMPRANERO,-
10,21-08-2019,MATUTINO,006
10,21-08-2019,VESPERTINO,415
10,21-08-2019,EL EXTRA,-
10,21-08-2019,NOCTURNO,449
11,21-08-2019,TEMPRANERO,-
11,21-08-2019,MATUTINO,427
11,21-08-2019,VESPERTINO,556
11,21-08-2019,EL EXTRA,-
11,21-08-2019,NOCTURNO,714
12,21-08-2019,TEMPRANERO,-
12,21-08-2019,MATUTINO,347
12,21-08-2019,VESPERTINO,003
12,21-08-2019,EL EXTRA,-
12,21-08-2019,NOCTURNO,116
13,21-08-2019,TEMPRANERO,-
13,21-08-2019,MATUTINO,092
13,21-08-2019,VESPERTINO,310
13,21-08-2019,EL EXTRA,-
13,21-08-2019,NOCTURNO,426
14,21-08-2019,TEMPRANERO,-
14,21-08-2019,MATUTINO,993
14,21-08-2019,VESPERTINO,693
14,21-08-2019,EL EXTRA,-
14,21-08-2019,NOCTURNO,888
